"","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","TotalBsmtSF","GrLivArea","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","YrSold","SalePrice","LotShapes","LotConfigs","Neighborhoods","BldgTypes","HouseStyles","Exterior_1st","Foundations","BsmtFin_Type1","Kitchen_Qual","GarageTypes"
"35",108,13418,8,5,2004,2005,1117,2452,3,1,4,9,1,3,2006,309000,"Reg","Inside","NridgHt","1Fam","2Story","VinylSd","PConc","Unf","Gd","BuiltIn"
"36",112,10859,5,5,1994,1995,1097,1097,1,1,3,6,0,2,2009,145000,"Reg","Corner","CollgCr","1Fam","1Story","VinylSd","PConc","Unf","TA","Attchd"
"37",74,8532,5,6,1954,1990,1297,1297,1,0,3,5,1,2,2009,153000,"Reg","Inside","NAmes","1Fam","1Story","Wd Sdng","CBlock","Rec","TA","Attchd"
"38",68,7922,5,7,1953,2007,1057,1057,1,0,3,5,0,1,2010,109000,"Reg","Inside","NAmes","1Fam","1Story","VinylSd","CBlock","GLQ","Gd","Detchd"
"39",65,6040,4,5,1955,1955,0,1152,2,0,2,6,0,0,2008,82000,"Reg","Inside","Edwards","Duplex","1Story","AsbShng","PConc",NA,"Fa",NA
"40",84,8658,6,5,1965,1965,1088,1324,2,0,3,6,1,2,2006,160000,"Reg","Inside","NAmes","1Fam","1Story","Wd Sdng","CBlock","Rec","TA","Attchd"
"41",115,16905,5,6,1959,1959,1350,1328,1,1,2,5,2,1,2007,170000,"Reg","Inside","Timber","1Fam","1Story","VinylSd","CBlock","BLQ","TA","Attchd"
"42",NA,9180,5,7,1983,1983,840,884,1,0,2,5,0,2,2007,144000,"IR1","CulDSac","SawyerW","1Fam","SFoyer","HdBoard","CBlock","ALQ","Gd","Attchd"
"43",NA,9200,5,6,1975,1980,938,938,1,0,3,5,0,1,2008,130250,"IR1","CulDSac","CollgCr","1Fam","1Story","VinylSd","CBlock","LwQ","TA","Detchd"
"44",70,7945,5,6,1959,1959,1150,1150,1,0,3,6,0,1,2006,141000,"Reg","Inside","NAmes","1Fam","1Story","BrkFace","CBlock","ALQ","TA","Attchd"
"45",61,7658,9,5,2005,2005,1752,1752,2,0,2,6,1,2,2010,319900,"Reg","Inside","NridgHt","TwnhsE","1Story","MetalSd","PConc","GLQ","Ex","Attchd"
"46",48,12822,7,5,2003,2003,1434,2149,1,1,1,6,1,2,2009,239686,"IR1","CulDSac","Mitchel","1Fam","1.5Fin","VinylSd","PConc","GLQ","Gd","Attchd"
"47",84,11096,8,5,2006,2006,1656,1656,2,0,3,7,0,3,2007,249700,"Reg","Inside","Somerst","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"48",33,4456,4,5,1920,2008,736,1452,2,0,2,8,0,0,2009,113000,"Reg","Inside","OldTown","2fmCon","2Story","MetalSd","BrkTil","Unf","TA",NA
"49",66,7742,5,7,1966,1966,955,955,1,0,3,6,0,1,2007,127000,"Reg","Inside","Sawyer","1Fam","1Story","HdBoard","CBlock","BLQ","TA","Attchd"
"50",NA,13869,6,6,1997,1997,794,1470,2,0,3,6,0,2,2007,177000,"IR2","Corner","Gilbert","1Fam","2Story","VinylSd","PConc","GLQ","TA","Attchd"
"51",52,6240,6,6,1934,1950,816,1176,1,0,3,6,1,2,2006,114500,"Reg","Inside","BrkSide","1Fam","1.5Fin","Wd Sdng","PConc","Unf","TA","Detchd"
"52",110,8472,5,5,1963,1963,816,816,1,0,2,5,0,2,2010,110000,"IR2","Corner","IDOTRR","Duplex","1Story","Wd Sdng","CBlock","LwQ","TA","CarPort"
"53",68,50271,9,5,1981,1987,1842,1842,0,1,0,5,1,3,2006,385000,"IR1","Inside","Veenker","1Fam","1Story","WdShing","CBlock","GLQ","Gd","Attchd"
"54",60,7134,5,5,1955,1955,384,1360,1,0,3,6,1,2,2007,130000,"Reg","Inside","NAmes","1Fam","SLvl","MetalSd","CBlock","ALQ","TA","Detchd"
"55",100,10175,6,5,1964,1964,1425,1425,2,0,3,7,1,2,2008,180500,"IR1","Inside","NAmes","1Fam","1Story","HdBoard","CBlock","BLQ","TA","Attchd"
"56",24,2645,8,5,1999,2000,970,1739,2,1,3,7,0,2,2009,172500,"Reg","Inside","Somerst","Twnhs","2Story","MetalSd","PConc","GLQ","Gd","Attchd"
"57",89,11645,7,5,2004,2004,860,1720,2,1,3,7,0,2,2006,196500,"IR1","Corner","CollgCr","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"58",66,13682,10,5,2006,2006,1410,2945,3,1,3,10,1,3,2006,438780,"IR2","CulDSac","StoneBr","1Fam","2Story","VinylSd","PConc","Unf","Gd","BuiltIn"
"59",60,7200,5,7,1972,1972,780,780,1,0,2,4,0,1,2008,124900,"Reg","Inside","CollgCr","1Fam","1Story","HdBoard","CBlock","ALQ","TA","Detchd"
"60",63,13072,6,5,2004,2004,1158,1158,1,1,3,5,0,2,2006,158000,"Reg","Inside","SawyerW","1Fam","1Story","VinylSd","PConc","ALQ","Gd","Detchd"
"61",60,7200,5,7,1920,1996,530,1111,1,0,3,6,0,1,2007,101000,"Reg","Inside","IDOTRR","1Fam","2.5Unf","MetalSd","BrkTil","Unf","Fa","Detchd"
"62",44,6442,8,5,2006,2006,1370,1370,2,0,2,6,1,2,2007,202500,"IR1","Inside","NridgHt","TwnhsE","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"63",50,10300,7,6,1921,1950,576,1710,2,0,3,9,0,2,2010,140000,"IR1","Inside","OldTown","1Fam","2Story","Stucco","BrkTil","Unf","TA","Detchd"
"64",NA,9375,7,5,1997,1998,1057,2034,2,1,3,8,0,2,2009,219500,"Reg","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"65",76,9591,8,5,2004,2005,1143,2473,2,1,4,9,1,3,2007,317000,"Reg","Inside","NridgHt","1Fam","2Story","VinylSd","PConc","Unf","Gd","BuiltIn"
"66",NA,19900,7,5,1970,1989,1947,2207,2,0,3,7,1,2,2010,180000,"Reg","Inside","NAmes","1Fam","1Story","Plywood","CBlock","GLQ","TA","Attchd"
"67",72,10665,7,5,2003,2003,1453,1479,2,0,3,7,0,2,2007,226000,"IR1","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"68",47,4608,4,6,1945,1950,747,747,1,0,2,4,0,1,2010,80000,"Reg","Corner","OldTown","1Fam","1Story","MetalSd","CBlock","Unf","TA","Attchd"
"69",81,15593,7,4,1953,1953,1304,2287,2,0,3,7,1,2,2006,225000,"Reg","Corner","ClearCr","1Fam","1.5Fin","BrkFace","CBlock","BLQ","TA","Attchd"
"70",95,13651,7,6,1973,1973,2223,2223,2,0,3,8,2,2,2007,244000,"IR1","Inside","NAmes","1Fam","1Story","Plywood","CBlock","ALQ","TA","Attchd"
"71",69,7599,4,6,1982,2006,845,845,1,0,2,4,0,2,2007,129500,"Reg","Corner","Mitchel","1Fam","1Story","HdBoard","CBlock","ALQ","TA","Detchd"
"72",74,10141,7,5,1998,1998,832,1718,2,1,3,7,1,2,2009,185000,"IR1","Corner","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","TA","Attchd"
"73",85,10200,5,7,1954,2003,1086,1086,1,0,3,6,0,2,2010,144900,"Reg","Inside","NAmes","1Fam","1Story","Wd Sdng","CBlock","ALQ","TA","Attchd"
"74",60,5790,3,6,1915,1950,840,1605,2,0,3,8,0,1,2010,107400,"Reg","Corner","OldTown","1Fam","2Story","VinylSd","CBlock","Unf","TA","Detchd"
"75",21,1596,4,5,1973,1973,462,988,1,0,2,5,0,1,2009,91000,"Reg","Inside","MeadowV","Twnhs","SLvl","CemntBd","CBlock","GLQ","TA","BuiltIn"
"76",NA,8475,4,7,1956,1956,952,952,1,0,2,4,0,1,2008,135750,"IR1","Inside","NAmes","1Fam","1Story","VinylSd","CBlock","ALQ","TA","Detchd"
"77",50,8635,5,5,1948,2001,672,1285,1,0,2,6,0,1,2008,127000,"Reg","Inside","BrkSide","1Fam","1.5Fin","Wd Sdng","CBlock","BLQ","TA","Detchd"
"78",72,10778,4,5,1968,1968,1768,1768,2,0,4,8,0,0,2010,136500,"Reg","Inside","Sawyer","Duplex","1Story","HdBoard","CBlock","Unf","TA",NA
"79",60,10440,5,6,1910,1981,440,1230,1,1,2,5,0,2,2009,110000,"Reg","Corner","OldTown","1Fam","2Story","Wd Sdng","PConc","Unf","TA","Detchd"
"80",100,13000,6,6,1968,1968,896,2142,2,1,4,8,1,1,2009,193500,"Reg","Corner","NAmes","1Fam","2Story","VinylSd","CBlock","Rec","Gd","Attchd"
"81",32,4500,6,5,1998,1998,1237,1337,2,0,2,5,0,2,2006,153500,"Reg","FR2","Mitchel","TwnhsE","1Story","VinylSd","PConc","GLQ","TA","Attchd"
"82",78,10206,8,5,2007,2007,1563,1563,2,0,3,6,1,3,2008,245000,"Reg","Inside","Somerst","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"83",80,8892,5,5,1960,1960,1065,1065,1,1,3,6,0,2,2007,126500,"IR1","Inside","NAmes","1Fam","1Story","MetalSd","CBlock","Unf","TA","Detchd"
"84",NA,8530,7,5,1995,1996,384,1474,2,1,3,7,1,2,2009,168500,"IR1","Inside","Gilbert","1Fam","SLvl","HdBoard","PConc","Unf","TA","BuiltIn"
"85",121,16059,8,5,1991,1992,1288,2417,2,1,4,9,1,2,2006,260000,"Reg","Corner","NoRidge","1Fam","2Story","HdBoard","CBlock","Unf","Gd","Attchd"
"86",122,11911,6,5,2005,2005,684,1560,2,1,3,6,1,2,2009,174000,"IR2","Inside","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","Gd","BuiltIn"
"87",40,3951,6,5,2009,2009,612,1224,2,1,2,4,0,2,2009,164500,"Reg","Corner","Somerst","TwnhsE","2Story","VinylSd","PConc","Unf","Gd","Detchd"
"88",105,8470,3,2,1915,1982,1013,1526,1,0,2,6,0,0,2009,85000,"IR1","Corner","IDOTRR","1Fam","1.5Fin","Plywood","CBlock","Unf","Fa",NA
"89",60,8070,4,5,1994,1995,990,990,1,0,3,5,0,0,2007,123600,"Reg","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","TA",NA
"90",60,7200,4,5,1950,1950,0,1040,1,0,2,4,0,2,2006,109900,"Reg","Inside","NAmes","1Fam","1Story","BrkFace","Slab",NA,"TA","Detchd"
"91",85,8500,5,3,1961,1961,1235,1235,1,0,2,6,0,2,2006,98600,"Reg","Inside","NAmes","1Fam","1Story","HdBoard","CBlock","Rec","TA","Attchd"
"92",80,13360,5,7,1921,2006,876,964,1,0,2,5,0,2,2009,163500,"IR1","Inside","Crawfor","1Fam","1Story","Wd Sdng","BrkTil","ALQ","TA","Detchd"
"93",60,7200,6,6,1910,1998,1214,2291,2,0,4,9,1,2,2007,133900,"Reg","Corner","OldTown","2fmCon","2.5Unf","MetalSd","BrkTil","Rec","TA","Detchd"
"94",69,9337,6,5,1997,1997,824,1786,2,1,3,7,0,2,2007,204750,"IR1","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"95",NA,9765,6,8,1993,1993,680,1470,2,1,3,6,1,2,2009,185000,"IR2","Corner","Gilbert","1Fam","2Story","VinylSd","PConc","ALQ","TA","BuiltIn"
"96",78,10264,7,5,1999,1999,1588,1588,2,0,3,6,0,2,2006,214000,"IR1","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","ALQ","Gd","Attchd"
"97",73,10921,4,5,1965,1965,960,960,1,0,3,6,0,1,2007,94750,"Reg","Inside","Edwards","1Fam","1Story","HdBoard","CBlock","Rec","TA","Attchd"
"98",85,10625,5,5,1920,1950,458,835,1,0,2,5,0,1,2010,83000,"Reg","Corner","Edwards","1Fam","1Story","Wd Sdng","BrkTil","ALQ","TA","Basment"
"99",77,9320,4,5,1959,1959,950,1225,1,1,3,6,0,0,2010,128950,"IR1","Inside","NAmes","1Fam","1Story","Plywood","CBlock","ALQ","TA",NA
"100",NA,10603,6,7,1977,2001,1610,1610,2,0,3,6,2,2,2010,205000,"IR1","Inside","NWAmes","1Fam","1Story","Plywood","PConc","ALQ","Gd","Attchd"
"101",77,9206,6,5,1985,1985,741,1732,2,1,3,7,1,2,2010,178000,"Reg","Inside","SawyerW","1Fam","2Story","HdBoard","CBlock","Unf","Gd","Attchd"
"102",64,7018,5,5,1979,1979,0,1535,2,0,4,8,0,2,2009,118964,"Reg","Inside","SawyerW","Duplex","1Story","HdBoard","Slab",NA,"TA","Attchd"
"103",94,10402,7,5,2009,2009,1226,1226,2,0,3,6,0,3,2010,198900,"IR1","Corner","CollgCr","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"104",NA,7758,7,4,1931,1950,1040,1818,1,1,4,7,2,1,2007,169500,"Reg","Corner","IDOTRR","1Fam","1.5Fin","Stucco","PConc","LwQ","TA","Detchd"
"105",75,9375,8,5,2003,2004,1053,1992,2,1,3,9,1,2,2008,250000,"Reg","Inside","Somerst","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"106",60,10800,4,7,1885,1995,641,1047,1,0,2,6,0,1,2007,100000,"Reg","Inside","OldTown","1Fam","1Story","VinylSd","BrkTil","Unf","TA","Detchd"
"107",50,6000,5,5,1948,1950,789,789,1,0,2,5,0,1,2008,115000,"Reg","Inside","OldTown","1Fam","1Story","VinylSd","CBlock","ALQ","TA","Detchd"
"108",85,8500,5,7,1919,2005,793,1517,2,0,3,7,0,0,2007,115000,"Reg","Corner","IDOTRR","1Fam","1.5Fin","CemntBd","CBlock","Unf","Fa",NA
"109",105,11751,6,6,1977,1977,1844,1844,2,0,3,7,1,2,2010,190000,"IR1","Inside","NWAmes","1Fam","1Story","Plywood","CBlock","BLQ","TA","Attchd"
"110",75,9525,6,4,1954,1972,994,1855,2,0,4,7,0,1,2006,136900,"Reg","Inside","Edwards","1Fam","1.5Fin","Wd Sdng","CBlock","Rec","TA","Attchd"
"111",NA,7750,7,5,2000,2000,384,1430,2,1,3,7,1,2,2010,180000,"IR1","Inside","Gilbert","1Fam","SLvl","VinylSd","PConc","GLQ","TA","BuiltIn"
"112",77,9965,7,5,2007,2007,1264,2696,2,1,4,10,1,3,2007,383970,"Reg","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Ex","BuiltIn"
"113",NA,21000,6,5,1953,1953,1809,2259,2,0,3,7,2,2,2007,217000,"Reg","Corner","Crawfor","1Fam","1Story","Wd Sdng","CBlock","ALQ","Gd","Basment"
"114",61,7259,6,8,1945,2002,1028,2320,2,1,3,9,1,1,2007,259500,"IR1","Inside","Crawfor","1Fam","2Story","Wd Sdng","CBlock","ALQ","Gd","Detchd"
"115",34,3230,6,5,1999,1999,729,1458,2,1,2,5,1,2,2007,176000,"Reg","Corner","Somerst","TwnhsE","2Story","MetalSd","PConc","GLQ","TA","Detchd"
"116",NA,11616,5,5,1962,1962,1092,1092,1,0,3,6,1,1,2009,139000,"Reg","Inside","Sawyer","1Fam","1Story","Wd Sdng","CBlock","LwQ","TA","Attchd"
"117",74,8536,5,5,2006,2007,1125,1125,1,1,2,5,0,2,2007,155000,"Reg","Corner","Edwards","1Fam","1Story","VinylSd","PConc","Unf","TA","Attchd"
"118",90,12376,7,5,1990,1990,1673,3222,3,0,5,11,2,3,2010,320000,"Reg","Corner","SawyerW","1Fam","2Story","Plywood","PConc","GLQ","Gd","Attchd"
"119",65,8461,6,5,2005,2006,728,1456,2,1,3,8,1,2,2006,163990,"Reg","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"120",NA,21453,6,5,1969,1969,938,988,1,0,1,4,2,2,2006,180000,"IR1","CulDSac","ClearCr","1Fam","SLvl","Plywood","CBlock","ALQ","TA","Attchd"
"121",50,6060,4,5,1939,1950,732,1123,1,0,3,4,0,1,2007,100000,"Reg","Inside","IDOTRR","1Fam","1.5Fin","AsbShng","PConc","Unf","TA","Detchd"
"122",75,9464,6,7,1958,1958,1080,1080,1,0,3,5,0,1,2008,136000,"Reg","Corner","NAmes","1Fam","1Story","MetalSd","CBlock","BLQ","TA","Attchd"
"123",55,7892,6,5,1993,1993,1199,1199,2,0,2,5,0,2,2008,153900,"Reg","Inside","SawyerW","TwnhsE","1Story","Plywood","PConc","GLQ","Gd","Attchd"
"124",48,17043,6,5,1979,1998,1362,1586,2,0,3,7,1,2,2009,181000,"IR1","CulDSac","NWAmes","1Fam","1Story","HdBoard","CBlock","Unf","TA","Attchd"
"125",60,6780,6,8,1935,1982,520,754,1,0,2,5,0,0,2006,84500,"Reg","Inside","IDOTRR","2fmCon","1.5Fin","Wd Sdng","CBlock","GLQ","TA",NA
"126",NA,4928,6,5,1976,1976,1078,958,2,0,2,5,1,2,2007,128000,"IR1","Inside","NPkVill","TwnhsE","1Story","Plywood","CBlock","ALQ","TA","Attchd"
"127",55,4388,5,7,1930,1950,672,840,1,0,3,5,1,0,2007,87000,"IR1","Inside","OldTown","1Fam","1.5Unf","WdShing","BrkTil","LwQ","TA",NA
"128",69,7590,6,5,1966,1966,660,1348,1,1,3,6,1,2,2006,155000,"Reg","Inside","NAmes","1Fam","2Story","VinylSd","CBlock","BLQ","TA","Attchd"
"129",69,8973,5,7,1958,1991,1008,1053,1,1,3,6,0,2,2006,150000,"Reg","Inside","NAmes","1Fam","1Story","Plywood","CBlock","Rec","Ex","2Types"
"130",88,14200,7,6,1966,1966,924,2157,2,1,4,8,2,2,2006,226000,"Reg","Corner","NAmes","1Fam","2Story","MetalSd","CBlock","Rec","Gd","Attchd"
"131",NA,12224,6,5,2000,2000,992,2054,2,1,3,7,1,2,2009,244000,"IR1","Corner","Gilbert","1Fam","2Story","VinylSd","PConc","GLQ","Gd","BuiltIn"
"132",75,7388,5,6,1959,2002,1063,1327,1,0,3,7,0,2,2007,150750,"Reg","Corner","NAmes","1Fam","1Story","MetalSd","CBlock","Rec","Gd","Detchd"
"133",NA,6853,8,5,2001,2002,1267,1296,2,0,2,6,0,2,2009,220000,"IR1","Inside","Timber","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"134",78,10335,5,6,1968,1993,1461,1721,2,1,3,7,1,2,2006,180000,"IR1","Inside","Sawyer","1Fam","1Story","Plywood","CBlock","Rec","TA","Attchd"
"135",80,10400,7,6,1970,1970,1304,1682,2,0,3,7,1,2,2008,174000,"Reg","Inside","NWAmes","1Fam","1Story","Plywood","PConc","Unf","TA","Attchd"
"136",NA,10355,5,5,1967,1967,1214,1214,2,0,3,5,1,1,2007,143000,"IR1","Corner","NAmes","1Fam","1Story","MetalSd","CBlock","BLQ","TA","Attchd"
"137",82,11070,7,5,1988,1989,1907,1959,3,0,5,9,0,3,2006,171000,"Reg","Inside","Mitchel","Duplex","1Story","VinylSd","CBlock","Unf","TA","2Types"
"138",73,9066,8,5,1999,2000,1004,1852,2,1,3,7,2,3,2008,230000,"IR1","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"139",65,15426,6,5,1997,1997,928,1764,2,1,3,7,0,2,2009,231500,"IR1","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"140",70,10500,4,5,1971,1971,864,864,1,0,3,5,1,0,2010,115000,"Reg","FR2","NAmes","1Fam","1Story","HdBoard","CBlock","ALQ","TA",NA
"141",78,11645,7,5,2005,2005,1734,1734,2,0,3,7,0,2,2006,260000,"Reg","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"142",71,8520,5,4,1952,1952,910,1385,2,0,4,6,0,2,2010,166000,"Reg","Corner","NAmes","1Fam","1.5Fin","BrkFace","CBlock","Rec","TA","Detchd"
"143",78,10335,7,5,1999,1999,1490,1501,2,0,3,6,0,2,2009,204000,"IR1","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"144",70,9100,5,5,1963,1963,1728,1728,2,0,6,10,0,2,2006,125000,"Reg","Inside","Sawyer","Duplex","1Story","HdBoard","CBlock","Rec","TA","Detchd"
"145",24,2522,6,5,2004,2006,970,1709,2,0,3,7,0,2,2006,130000,"Reg","Inside","Edwards","Twnhs","2Story","VinylSd","PConc","Unf","Gd","Detchd"
"146",51,6120,5,7,1931,1993,715,875,1,0,2,5,0,1,2009,105000,"Reg","Corner","BrkSide","1Fam","1Story","Wd Sdng","BrkTil","BLQ","TA","Detchd"
"147",NA,9505,7,5,2001,2001,884,2035,2,1,3,8,1,2,2010,222500,"IR1","CulDSac","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","Gd","BuiltIn"
"148",63,7500,7,5,2004,2005,1080,1080,1,0,3,6,0,0,2008,141000,"Reg","Inside","SawyerW","1Fam","1Story","VinylSd","PConc","GLQ","Gd",NA
"149",NA,6240,5,4,1936,1950,896,1344,1,0,3,7,0,1,2006,115000,"Reg","Inside","BrkSide","1Fam","1.5Fin","MetalSd","BrkTil","Unf","TA","Detchd"
"150",120,10356,5,6,1975,1975,969,969,1,1,3,5,0,2,2007,122000,"Reg","Corner","CollgCr","1Fam","1Story","HdBoard","CBlock","BLQ","TA","Attchd"
